pistetunnus;sijainti;pvm;suunta;suuntaselite;kaista;jaottelu;ajoneuvoluokka;00_01;01_02;02_03;03_04;04_05;05_06;06_07;07_08;08_09;09_10;10_11;11_12;12_13;13_14;14_15;15_16;16_17;17_18;18_19;19_20;20_21;21_22;22_23;23_24;yhteensa
471;vt3_Tampere_Multisilta;20240101;*;;*;Kaikki;kaikki;419;446;377;257;213;181;253;206;188;297;539;1039;1824;2363;2671;2859;2684;2342;1942;1368;1057;671;411;294;24901
471;vt3_Tampere_Multisilta;20240102;*;;*;Kaikki;kaikki;168;124;106;103;211;604;1650;2457;2051;1636;1720;1995;2246;2475;2838;3630;3628;2470;2249;1507;1226;883;549;333;36859
471;vt3_Tampere_Multisilta;20240103;*;;*;Kaikki;kaikki;209;163;146;127;151;576;1560;2453;2024;1700;1696;1987;2215;2352;2796;3655;3805;2875;2044;1540;1304;1139;581;361;37459
471;vt3_Tampere_Multisilta;20240104;*;;*;Kaikki;kaikki;233;133;136;118;157;565;1604;2414;2078;1701;1750;2001;2165;2368;2861;3890;3770;2916;2281;1631;1414;870;601;371;38028
471;vt3_Tampere_Multisilta;20240105;*;;*;Kaikki;kaikki;244;184;141;123;184;541;1484;2216;1761;1713;1793;2162;2465;2827;3377;4065;4040;3321;2337;1761;1467;1262;665;507;40640
471;vt3_Tampere_Multisilta;20240106;*;;*;Kaikki;kaikki;370;252;199;129;106;189;348;384;586;1184;1684;2217;2682;2952;3061;2783;2652;2444;2138;1535;1264;849;643;449;31100
471;vt3_Tampere_Multisilta;20240107;*;;*;Kaikki;kaikki;288;210;158;106;93;106;192;275;345;604;964;1488;2175;2490;2758;2721;2828;2578;2282;1488;1256;835;490;246;26976
471;vt3_Tampere_Multisilta;20240108;*;;*;Kaikki;kaikki;135;118;89;127;224;700;2076;3481;3105;2182;1795;1983;2096;2204;2727;3925;4014;2704;1983;1435;1150;904;493;285;39935
471;vt3_Tampere_Multisilta;20240109;*;;*;Kaikki;kaikki;183;102;114;110;176;667;865;3571;3225;2177;1879;2012;2060;2221;2759;4075;4267;2845;2203;1588;1300;913;569;292;40173
471;vt3_Tampere_Multisilta;20240110;*;;*;Kaikki;kaikki;160;117;109;108;197;664;2086;3570;3211;2175;1785;1935;2172;2417;2933;4200;4362;3000;2191;1610;1252;1123;610;319;42306
471;vt3_Tampere_Multisilta;20240111;*;;*;Kaikki;kaikki;171;126;94;113;192;661;2068;3403;3108;2202;1867;2034;2206;2425;2979;4200;4323;3241;2321;1805;1359;1032;588;296;42814
471;vt3_Tampere_Multisilta;20240112;*;;*;Kaikki;kaikki;208;151;105;102;189;585;1721;2875;2804;1962;1828;2042;2457;2686;3368;4359;4258;3299;2608;1815;1343;1236;793;504;43298
471;vt3_Tampere_Multisilta;20240113;*;;*;Kaikki;kaikki;360;248;188;122;136;185;393;549;847;1532;2053;2558;2911;2817;3002;2842;2766;2298;1956;1606;1203;908;630;461;32571
471;vt3_Tampere_Multisilta;20240114;*;;*;Kaikki;kaikki;310;229;179;137;111;107;220;267;456;784;1338;1955;2478;2618;2723;2906;2793;2579;2077;1587;1172;806;459;245;28536
471;vt3_Tampere_Multisilta;20240115;*;;*;Kaikki;kaikki;152;118;99;109;206;730;2187;3484;3102;2175;1742;1853;2007;1014;2732;3976;3930;2683;2042;1491;1304;834;535;277;38782
471;vt3_Tampere_Multisilta;20240116;*;;*;Kaikki;kaikki;187;120;102;146;232;633;2091;3607;2993;2084;1865;1909;1937;2246;2719;3962;4121;2947;2074;1591;1200;814;588;291;40459
471;vt3_Tampere_Multisilta;20240117;*;;*;Kaikki;kaikki;183;134;127;106;223;626;2072;3452;3036;2216;1859;1834;2064;2298;2847;4085;4207;3024;2265;1654;1296;1028;610;315;41561
471;vt3_Tampere_Multisilta;20240118;*;;*;Kaikki;kaikki;172;136;118;97;214;620;1940;3365;2988;2011;1659;1756;1948;2095;2795;3931;4083;3024;2181;1685;1384;956;634;318;40110
471;vt3_Tampere_Multisilta;20240119;*;;*;Kaikki;kaikki;185;127;137;123;225;590;1861;2966;2767;2028;2023;2124;2460;2863;3640;4585;4392;3566;2681;1896;1462;1093;737;502;45033
471;vt3_Tampere_Multisilta;20240120;*;;*;Kaikki;kaikki;388;254;190;136;113;183;383;517;935;1685;2221;2747;3023;3164;3226;3022;2918;2466;2154;1671;1427;961;668;597;35049
471;vt3_Tampere_Multisilta;20240121;*;;*;Kaikki;kaikki;356;238;199;118;112;104;236;246;511;876;1266;1965;2437;2728;2909;2869;3008;2766;2337;1776;1320;808;494;259;29938
471;vt3_Tampere_Multisilta;20240122;*;;*;Kaikki;kaikki;151;103;73;130;252;706;2089;3356;3105;2199;1735;1758;1855;1987;2383;3535;3528;2383;1864;1427;1121;806;496;283;37325
471;vt3_Tampere_Multisilta;20240123;*;;*;Kaikki;kaikki;174;143;134;158;197;689;2132;3593;3102;2159;1847;1915;2070;2133;2726;4114;4211;2992;2172;1512;1264;1149;553;296;41435
471;vt3_Tampere_Multisilta;20240124;*;;*;Kaikki;kaikki;173;148;121;130;205;663;2152;3462;3151;2221;1941;1977;2151;2335;2849;4003;4209;3089;2252;1682;1247;1068;609;311;42149
471;vt3_Tampere_Multisilta;20240125;*;;*;Kaikki;kaikki;188;155;129;121;193;650;2070;3377;3169;2282;2049;2100;2310;2489;3016;4336;4570;3418;2325;1869;1540;1057;558;311;44282
471;vt3_Tampere_Multisilta;20240126;*;;*;Kaikki;kaikki;216;123;116;131;204;596;1837;2975;2696;2042;2022;2281;2530;3016;3731;4695;4486;3800;2624;1845;1507;1441;814;557;46285
471;vt3_Tampere_Multisilta;20240127;*;;*;Kaikki;kaikki;380;289;234;158;152;194;404;586;954;1772;2294;2911;3146;3166;3114;3111;2887;2416;2305;1735;1284;938;655;500;35585
471;vt3_Tampere_Multisilta;20240128;*;;*;Kaikki;kaikki;301;251;210;134;107;123;232;316;520;908;1329;2062;2558;2868;3065;3145;2935;2841;2461;1713;1189;806;438;263;30775
471;vt3_Tampere_Multisilta;20240129;*;;*;Kaikki;kaikki;175;120;97;112;237;751;2109;3465;3164;2252;1822;1985;2082;2301;2677;3874;3898;2749;2022;1462;1222;786;493;301;40156
471;vt3_Tampere_Multisilta;20240130;*;;*;Kaikki;kaikki;176;117;114;118;228;678;2111;3557;3266;2202;1846;1906;2037;2299;2748;4076;4293;3006;2098;1538;1385;937;607;282;41625
471;vt3_Tampere_Multisilta;20240131;*;;*;Kaikki;kaikki;182;144;118;100;182;652;2087;3442;3192;2159;1943;1990;2108;2403;2975;4182;4291;2971;2283;1758;1453;1175;581;283;42654
471;vt3_Tampere_Multisilta;20240201;*;;*;Kaikki;kaikki;200;166;123;104;197;527;1856;3185;3042;2115;1930;2072;2158;2329;2891;4134;4349;3190;2456;1761;1393;1002;581;318;42079
471;vt3_Tampere_Multisilta;20240202;*;;*;Kaikki;kaikki;186;135;106;100;183;537;1793;3168;3015;2336;2202;2611;2784;3286;3998;4934;4925;3876;3204;2054;1667;1200;1075;547;49922
